sources,target,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0_2_3,1,6,1,0.2125,0.171875,0.571428571429,0.285714285714,0.0,0.0,0.0,0.785714285714,0.266666666667,0.111111111111,0.0,0.0,0.0,0.282051282051,0.363636363636,0.16,0.0,0.0,0.0,14,15,18,12,6,15,11,2,1,0,0,0,10,4,1,0,0,0,15,1,2,0,0,0,9,0,2,0,0,1,6,0,0,0,0,0,13,0,1,0,1,0
0_2_3,1,6,5,0.125,0.1,0.0769230769231,0.125,0.333333333333,0.0,0.114285714286,0.1,0.0526315789474,0.125,0.153846153846,0.0,0.266666666667,0.1,0.0625,0.125,0.210526315789,0.0,0.16,10,19,16,13,7,15,1,2,2,0,0,5,1,1,7,1,0,9,1,2,2,2,0,9,4,1,1,2,0,5,1,2,1,0,0,3,2,5,3,1,0,4
1_2_3,0,0,0,0.9875,1.0,0.947368421053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.972972972973,1.0,1.0,1.0,0.967741935484,14,18,13,10,9,16,14,0,0,0,0,0,0,18,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,0,0,0,9,0,0,1,0,0,0,15
1_2_3,0,0,6,0.3625,0.36,0.5,0.375,0.0,0.0,0.351351351351,0.75,0.0666666666667,0.333333333333,0.0,0.0,1.0,0.486486486486,0.117647058824,0.352941176471,0.0,0.0,0.52,12,15,18,13,9,13,9,0,0,0,0,3,3,1,1,0,0,10,9,1,6,0,0,2,4,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13
1_2_3,0,0,1,0.2625,0.237288135593,0.0,0.666666666667,0.0,0.0,0.2,0.933333333333,0.0,0.266666666667,0.0,0.0,0.166666666667,0.378378378378,0.0,0.380952380952,0.0,0.0,0.181818181818,15,12,15,10,10,18,14,0,0,0,0,1,8,0,0,0,0,4,10,0,4,0,0,1,8,0,2,0,0,0,4,0,0,0,0,6,15,0,0,0,0,3
1_2_3,0,0,5,0.4125,0.9,1.0,0.625,0.0,0.0,0.272727272727,0.692307692308,0.210526315789,0.384615384615,0.0,0.0,1.0,0.782608695652,0.347826086957,0.47619047619,0.0,0.0,0.428571428571,13,19,13,15,5,15,9,0,0,0,2,2,1,4,1,1,0,12,0,0,5,0,0,8,0,0,2,0,0,13,0,0,0,0,0,5,0,0,0,0,0,15
1_2_3,0,1,0,0.975,1.0,0.933333333333,1.0,1.0,1.0,0.928571428571,1.0,0.933333333333,1.0,1.0,1.0,0.928571428571,1.0,0.933333333333,1.0,1.0,1.0,0.928571428571,16,15,15,12,8,14,16,0,0,0,0,0,0,14,0,0,0,1,0,0,15,0,0,0,0,0,0,12,0,0,0,0,0,0,8,0,0,1,0,0,0,13
1_2_3,0,1,6,0.6,0.619047619048,1.0,0.5,0.375,0.6,0.6875,0.928571428571,0.555555555556,0.142857142857,1.0,0.333333333333,0.6875,0.742857142857,0.714285714286,0.222222222222,0.545454545455,0.428571428571,0.6875,14,18,14,9,9,16,13,0,0,0,1,0,1,10,0,2,0,5,0,0,2,12,0,0,0,0,0,9,0,0,6,0,0,0,3,0,1,0,2,1,1,11
1_2_3,0,1,1,0.575,0.625,0.8,0.4,0.333333333333,0.7,0.5,1.0,0.761904761905,0.428571428571,0.230769230769,0.875,0.473684210526,0.769230769231,0.780487804878,0.413793103448,0.272727272727,0.777777777778,0.486486486486,5,21,14,13,8,19,5,0,0,0,0,0,0,16,0,0,0,5,0,0,6,6,0,2,0,1,7,3,0,2,1,0,0,0,7,0,2,3,2,0,3,9
1_2_3,0,1,5,0.525,0.818181818182,0.8125,0.5,0.307692307692,0.333333333333,0.37037037037,1.0,0.764705882353,0.277777777778,0.333333333333,0.333333333333,0.47619047619,0.9,0.787878787879,0.357142857143,0.32,0.333333333333,0.416666666667,9,17,18,12,3,21,9,0,0,0,0,0,0,13,1,0,0,3,0,0,5,6,0,7,1,0,0,4,0,7,1,1,0,0,1,0,0,2,4,3,2,10
1_2_3,0,3,0,0.925,1.0,0.882352941176,0.947368421053,0.8,1.0,0.941176470588,0.916666666667,0.833333333333,1.0,1.0,0.75,1.0,0.95652173913,0.857142857143,0.972972972973,0.888888888889,0.857142857143,0.969696969697,12,18,18,8,8,16,11,0,0,1,0,0,0,15,1,1,0,1,0,0,18,0,0,0,0,0,0,8,0,0,0,2,0,0,6,0,0,0,0,0,0,16
1_2_3,0,3,6,0.575,0.625,1.0,0.6,1.0,0.0,0.5,0.909090909091,0.125,1.0,0.1,0.0,1.0,0.740740740741,0.222222222222,0.75,0.181818181818,0.0,0.666666666667,11,16,15,10,10,18,10,0,0,0,0,1,0,2,1,0,0,13,0,0,15,0,0,0,0,0,9,1,0,0,6,0,0,0,0,4,0,0,0,0,0,18
